name,team,total_points,value,tier
Fábio Vieira,Arsenal,24,5.5,C
G.Jesus,Arsenal,85,7.0,B
Gabriel,Arsenal,149,6.0,A
Havertz,Arsenal,180,8.0,S
Hein,Arsenal,0,4.0,C
J.Timber,Arsenal,0,5.5,C
Jorginho,Arsenal,44,5.0,C
Kiwior,Arsenal,67,5.0,B
Martinelli,Arsenal,118,7.0,A
Nelson,Arsenal,16,5.0,C
Nketiah,Arsenal,71,6.0,B
Nwaneri,Arsenal,1,4.5,C
Ødegaard,Arsenal,186,8.5,S
Ramsdale,Arsenal,20,4.5,C
Raya,Arsenal,135,5.5,A
Rice,Arsenal,165,6.5,S
Saka,Arsenal,226,10.0,S
Saliba,Arsenal,164,6.0,S
Smith Rowe,Arsenal,25,5.5,C
Thomas,Arsenal,24,5.0,C
Tierney,Arsenal,0,4.5,C
Tomiyasu,Arsenal,70,5.0,B
Trossard,Arsenal,138,7.0,A
White,Arsenal,182,6.5,S
Zinchenko,Arsenal,104,5.0,A
Calafiori,Arsenal,0,6.0,C
Alex Moreno,Aston Villa,49,4.5,C
Archer,Aston Villa,82,5.0,B
Bailey,Aston Villa,148,6.5,A
Barkley,Aston Villa,101,5.5,A
Barrenechea,Aston Villa,0,5.0,C
Buendia,Aston Villa,0,5.5,C
Cash,Aston Villa,64,4.5,B
Dendoncker,Aston Villa,20,4.5,C
Diaby,Aston Villa,142,6.5,A
Diego Carlos,Aston Villa,55,4.5,B
Digne,Aston Villa,85,4.5,B
Dobbin,Aston Villa,18,5.0,C
Duran,Aston Villa,50,6.0,B
Gauci,Aston Villa,0,4.0,C
Hause,Aston Villa,0,4.0,C
Iling Jr,Aston Villa,0,5.5,C
Kamara,Aston Villa,40,5.0,C
Kesler-Hayden,Aston Villa,3,4.0,C
Konsa,Aston Villa,91,4.5,B
Maatsen,Aston Villa,11,5.0,C
Marschall,Aston Villa,0,4.0,C
Martinez,Aston Villa,115,5.0,A
McGinn,Aston Villa,119,5.5,A
Mings,Aston Villa,0,4.5,C
Nedeljkovic,Aston Villa,0,4.0,C
Olsen,Aston Villa,17,4.5,C
Pau,Aston Villa,85,4.5,B
Ramsey,Aston Villa,29,5.5,C
Rogers,Aston Villa,35,5.0,C
Sinisalo,Aston Villa,0,4.0,C
Sousa,Aston Villa,0,4.0,C
Tielemans,Aston Villa,77,5.5,B
